impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,30.2307,2,139896,69,35
omp1,1,0.03,10,1,28.6531,2,139896,69,35
omp1,4,0.03,10,1,8.87392,2,139896,69,35
omp1,8,0.03,10,1,6.83176,2,139896,69,35
omp1,16,0.03,10,1,7.43096,2,139896,69,35
omp2,1,0.03,10,1,9.39834,2,139896,69,35
omp2,4,0.03,10,1,3.81447,2,139896,69,35
omp2,8,0.03,10,1,3.78151,2,139896,69,35
omp2,16,0.03,10,1,2.98432,2,139896,69,35
serial,1,0.03,10,2,30.1287,2,139896,69,35
omp1,1,0.03,10,2,28.8372,2,139896,69,35
omp1,4,0.03,10,2,9.7978,2,139896,69,35
omp1,8,0.03,10,2,8.00878,2,139896,69,35
omp1,16,0.03,10,2,7.80754,2,139896,69,35
omp2,1,0.03,10,2,9.05916,2,139896,69,35
omp2,4,0.03,10,2,5.45191,2,139896,69,35
omp2,8,0.03,10,2,3.37952,2,139896,69,35
omp2,16,0.03,10,2,3.34573,2,139896,69,35
serial,1,0.03,10,3,31.5012,2,139896,69,35
omp1,1,0.03,10,3,29.684,2,139896,69,35
omp1,4,0.03,10,3,9.69319,2,139896,69,35
omp1,8,0.03,10,3,7.48633,2,139896,69,35
omp1,16,0.03,10,3,7.65287,2,139896,69,35
omp2,1,0.03,10,3,8.58506,2,139896,69,35
omp2,4,0.03,10,3,3.63209,2,139896,69,35
omp2,8,0.03,10,3,4.4339,2,139896,69,35
omp2,16,0.03,10,3,3.76414,2,139896,69,35
serial,1,0.03,10,4,30.4306,2,139896,69,35
omp1,1,0.03,10,4,28.8874,2,139896,69,35
omp1,4,0.03,10,4,9.85921,2,139896,69,35
omp1,8,0.03,10,4,7.66562,2,139896,69,35
omp1,16,0.03,10,4,8.31487,2,139896,69,35
omp2,1,0.03,10,4,8.74701,2,139896,69,35
omp2,4,0.03,10,4,4.45345,2,139896,69,35
omp2,8,0.03,10,4,3.3915,2,139896,69,35
omp2,16,0.03,10,4,3.28955,2,139896,69,35
serial,1,0.03,10,5,30.913,2,139896,69,35
omp1,1,0.03,10,5,29.0736,2,139896,69,35
omp1,4,0.03,10,5,9.95083,2,139896,69,35
omp1,8,0.03,10,5,7.48048,2,139896,69,35
omp1,16,0.03,10,5,7.54065,2,139896,69,35
omp2,1,0.03,10,5,8.7197,2,139896,69,35
omp2,4,0.03,10,5,3.49836,2,139896,69,35
omp2,8,0.03,10,5,3.11275,2,139896,69,35
omp2,16,0.03,10,5,2.9649,2,139896,69,35
serial,1,0.03,10,6,31.009,2,139896,69,35
omp1,1,0.03,10,6,28.8213,2,139896,69,35
omp1,4,0.03,10,6,9.42611,2,139896,69,35
omp1,8,0.03,10,6,7.2838,2,139896,69,35
omp1,16,0.03,10,6,7.54375,2,139896,69,35
omp2,1,0.03,10,6,8.27149,2,139896,69,35
omp2,4,0.03,10,6,3.84122,2,139896,69,35
omp2,8,0.03,10,6,3.01083,2,139896,69,35
omp2,16,0.03,10,6,3.11941,2,139896,69,35
serial,1,0.03,10,7,29.5363,2,139896,69,35
omp1,1,0.03,10,7,27.8135,2,139896,69,35
omp1,4,0.03,10,7,9.19924,2,139896,69,35
omp1,8,0.03,10,7,7.94728,2,139896,69,35
omp1,16,0.03,10,7,7.00847,2,139896,69,35
omp2,1,0.03,10,7,7.89564,2,139896,69,35
omp2,4,0.03,10,7,3.50491,2,139896,69,35
omp2,8,0.03,10,7,3.24339,2,139896,69,35
omp2,16,0.03,10,7,3.79977,2,139896,69,35
serial,1,0.03,10,8,30.2952,2,139896,69,35
omp1,1,0.03,10,8,28.3155,2,139896,69,35
omp1,4,0.03,10,8,8.99917,2,139896,69,35
omp1,8,0.03,10,8,7.43419,2,139896,69,35
omp1,16,0.03,10,8,7.20451,2,139896,69,35
omp2,1,0.03,10,8,8.09722,2,139896,69,35
omp2,4,0.03,10,8,4.21605,2,139896,69,35
omp2,8,0.03,10,8,3.79641,2,139896,69,35
omp2,16,0.03,10,8,3.3307,2,139896,69,35
serial,1,0.03,10,9,31.5358,2,139896,69,35
omp1,1,0.03,10,9,28.249,2,139896,69,35
omp1,4,0.03,10,9,9.42429,2,139896,69,35
omp1,8,0.03,10,9,7.01532,2,139896,69,35
omp1,16,0.03,10,9,6.96402,2,139896,69,35
omp2,1,0.03,10,9,7.93069,2,139896,69,35
omp2,4,0.03,10,9,3.57927,2,139896,69,35
omp2,8,0.03,10,9,2.91623,2,139896,69,35
omp2,16,0.03,10,9,2.97576,2,139896,69,35
serial,1,0.03,10,10,30.4125,2,139896,69,35
omp1,1,0.03,10,10,28.659,2,139896,69,35
omp1,4,0.03,10,10,9.4452,2,139896,69,35
omp1,8,0.03,10,10,6.97922,2,139896,69,35
omp1,16,0.03,10,10,7.52181,2,139896,69,35
omp2,1,0.03,10,10,9.30508,2,139896,69,35
omp2,4,0.03,10,10,4.03368,2,139896,69,35
omp2,8,0.03,10,10,3.11462,2,139896,69,35
omp2,16,0.03,10,10,3.01239,2,139896,69,35
