impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,0.582194,3,19866,89,45
omp1,1,0.03,10,1,0.546791,3,19866,89,45
omp1,4,0.03,10,1,0.158962,3,19866,89,45
omp1,8,0.03,10,1,0.12043,3,19866,89,45
omp1,16,0.03,10,1,0.126761,3,19866,89,45
omp2,1,0.03,10,1,0.14501,3,19866,89,45
omp2,4,0.03,10,1,0.070238,3,19866,89,45
omp2,8,0.03,10,1,0.046839,3,19866,89,45
omp2,16,0.03,10,1,0.041441,3,19866,89,45
serial,1,0.03,10,2,0.598586,3,19866,89,45
omp1,1,0.03,10,2,0.560684,3,19866,89,45
omp1,4,0.03,10,2,0.163983,3,19866,89,45
omp1,8,0.03,10,2,0.125319,3,19866,89,45
omp1,16,0.03,10,2,0.118996,3,19866,89,45
omp2,1,0.03,10,2,0.147842,3,19866,89,45
omp2,4,0.03,10,2,0.057927,3,19866,89,45
omp2,8,0.03,10,2,0.042182,3,19866,89,45
omp2,16,0.03,10,2,0.041804,3,19866,89,45
serial,1,0.03,10,3,0.599149,3,19866,89,45
omp1,1,0.03,10,3,0.555485,3,19866,89,45
omp1,4,0.03,10,3,0.157718,3,19866,89,45
omp1,8,0.03,10,3,0.115481,3,19866,89,45
omp1,16,0.03,10,3,0.129886,3,19866,89,45
omp2,1,0.03,10,3,0.148364,3,19866,89,45
omp2,4,0.03,10,3,0.056974,3,19866,89,45
omp2,8,0.03,10,3,0.043167,3,19866,89,45
omp2,16,0.03,10,3,0.039141,3,19866,89,45
serial,1,0.03,10,4,0.589368,3,19866,89,45
omp1,1,0.03,10,4,0.555511,3,19866,89,45
omp1,4,0.03,10,4,0.155897,3,19866,89,45
omp1,8,0.03,10,4,0.121542,3,19866,89,45
omp1,16,0.03,10,4,0.113324,3,19866,89,45
omp2,1,0.03,10,4,0.145754,3,19866,89,45
omp2,4,0.03,10,4,0.051471,3,19866,89,45
omp2,8,0.03,10,4,0.041125,3,19866,89,45
omp2,16,0.03,10,4,0.041386,3,19866,89,45
serial,1,0.03,10,5,0.58974,3,19866,89,45
omp1,1,0.03,10,5,0.555791,3,19866,89,45
omp1,4,0.03,10,5,0.159164,3,19866,89,45
omp1,8,0.03,10,5,0.114163,3,19866,89,45
omp1,16,0.03,10,5,0.114924,3,19866,89,45
omp2,1,0.03,10,5,0.144102,3,19866,89,45
omp2,4,0.03,10,5,0.052115,3,19866,89,45
omp2,8,0.03,10,5,0.040087,3,19866,89,45
omp2,16,0.03,10,5,0.041583,3,19866,89,45
serial,1,0.03,10,6,0.590113,3,19866,89,45
omp1,1,0.03,10,6,0.554727,3,19866,89,45
omp1,4,0.03,10,6,0.155942,3,19866,89,45
omp1,8,0.03,10,6,0.11619,3,19866,89,45
omp1,16,0.03,10,6,0.12716,3,19866,89,45
omp2,1,0.03,10,6,0.147555,3,19866,89,45
omp2,4,0.03,10,6,0.051834,3,19866,89,45
omp2,8,0.03,10,6,0.038364,3,19866,89,45
omp2,16,0.03,10,6,0.040114,3,19866,89,45
serial,1,0.03,10,7,0.589915,3,19866,89,45
omp1,1,0.03,10,7,0.555817,3,19866,89,45
omp1,4,0.03,10,7,0.157013,3,19866,89,45
omp1,8,0.03,10,7,0.124628,3,19866,89,45
omp1,16,0.03,10,7,0.116686,3,19866,89,45
omp2,1,0.03,10,7,0.144967,3,19866,89,45
omp2,4,0.03,10,7,0.051942,3,19866,89,45
omp2,8,0.03,10,7,0.045015,3,19866,89,45
omp2,16,0.03,10,7,0.041422,3,19866,89,45
serial,1,0.03,10,8,0.592783,3,19866,89,45
omp1,1,0.03,10,8,0.566219,3,19866,89,45
omp1,4,0.03,10,8,0.163213,3,19866,89,45
omp1,8,0.03,10,8,0.114739,3,19866,89,45
omp1,16,0.03,10,8,0.11244,3,19866,89,45
omp2,1,0.03,10,8,0.146289,3,19866,89,45
omp2,4,0.03,10,8,0.051383,3,19866,89,45
omp2,8,0.03,10,8,0.040896,3,19866,89,45
omp2,16,0.03,10,8,0.040624,3,19866,89,45
serial,1,0.03,10,9,0.593965,3,19866,89,45
omp1,1,0.03,10,9,0.560218,3,19866,89,45
omp1,4,0.03,10,9,0.161446,3,19866,89,45
omp1,8,0.03,10,9,0.113873,3,19866,89,45
omp1,16,0.03,10,9,0.116009,3,19866,89,45
omp2,1,0.03,10,9,0.157563,3,19866,89,45
omp2,4,0.03,10,9,0.052658,3,19866,89,45
omp2,8,0.03,10,9,0.044558,3,19866,89,45
omp2,16,0.03,10,9,0.065872,3,19866,89,45
serial,1,0.03,10,10,0.757291,3,19866,89,45
omp1,1,0.03,10,10,0.602023,3,19866,89,45
omp1,4,0.03,10,10,0.173387,3,19866,89,45
omp1,8,0.03,10,10,0.117055,3,19866,89,45
omp1,16,0.03,10,10,0.136202,3,19866,89,45
omp2,1,0.03,10,10,0.152429,3,19866,89,45
omp2,4,0.03,10,10,0.078013,3,19866,89,45
omp2,8,0.03,10,10,0.041936,3,19866,89,45
omp2,16,0.03,10,10,0.03891,3,19866,89,45
