impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,10.0253,2,79885,81,34
omp1,1,0.03,10,1,9.37759,2,79885,81,34
omp1,4,0.03,10,1,2.57301,2,79885,81,34
omp1,8,0.03,10,1,2.4798,2,79885,81,34
omp1,16,0.03,10,1,2.11775,2,79885,81,34
omp2,1,0.03,10,1,3.19177,2,79885,81,34
omp2,4,0.03,10,1,0.995455,2,79885,81,34
omp2,8,0.03,10,1,0.764494,2,79885,81,34
omp2,16,0.03,10,1,0.77415,2,79885,81,34
serial,1,0.03,10,2,9.81891,2,79885,81,34
omp1,1,0.03,10,2,9.33049,2,79885,81,34
omp1,4,0.03,10,2,2.51267,2,79885,81,34
omp1,8,0.03,10,2,2.40224,2,79885,81,34
omp1,16,0.03,10,2,2.7207,2,79885,81,34
omp2,1,0.03,10,2,2.62098,2,79885,81,34
omp2,4,0.03,10,2,1.06521,2,79885,81,34
omp2,8,0.03,10,2,0.829698,2,79885,81,34
omp2,16,0.03,10,2,0.897682,2,79885,81,34
serial,1,0.03,10,3,9.86606,2,79885,81,34
omp1,1,0.03,10,3,9.29837,2,79885,81,34
omp1,4,0.03,10,3,2.8203,2,79885,81,34
omp1,8,0.03,10,3,2.3899,2,79885,81,34
omp1,16,0.03,10,3,2.17771,2,79885,81,34
omp2,1,0.03,10,3,2.79027,2,79885,81,34
omp2,4,0.03,10,3,1.0278,2,79885,81,34
omp2,8,0.03,10,3,0.828151,2,79885,81,34
omp2,16,0.03,10,3,1.05523,2,79885,81,34
serial,1,0.03,10,4,10.1049,2,79885,81,34
omp1,1,0.03,10,4,10.2812,2,79885,81,34
omp1,4,0.03,10,4,3.09822,2,79885,81,34
omp1,8,0.03,10,4,1.92849,2,79885,81,34
omp1,16,0.03,10,4,1.92266,2,79885,81,34
omp2,1,0.03,10,4,2.98477,2,79885,81,34
omp2,4,0.03,10,4,1.39732,2,79885,81,34
omp2,8,0.03,10,4,1.08218,2,79885,81,34
omp2,16,0.03,10,4,1.26651,2,79885,81,34
serial,1,0.03,10,5,9.94095,2,79885,81,34
omp1,1,0.03,10,5,9.03475,2,79885,81,34
omp1,4,0.03,10,5,2.52756,2,79885,81,34
omp1,8,0.03,10,5,1.87925,2,79885,81,34
omp1,16,0.03,10,5,1.90065,2,79885,81,34
omp2,1,0.03,10,5,3.0017,2,79885,81,34
omp2,4,0.03,10,5,1.38421,2,79885,81,34
omp2,8,0.03,10,5,0.894697,2,79885,81,34
omp2,16,0.03,10,5,0.822781,2,79885,81,34
serial,1,0.03,10,6,10.5775,2,79885,81,34
omp1,1,0.03,10,6,9.76021,2,79885,81,34
omp1,4,0.03,10,6,2.79837,2,79885,81,34
omp1,8,0.03,10,6,2.07087,2,79885,81,34
omp1,16,0.03,10,6,1.97779,2,79885,81,34
omp2,1,0.03,10,6,2.69803,2,79885,81,34
omp2,4,0.03,10,6,1.1459,2,79885,81,34
omp2,8,0.03,10,6,0.851627,2,79885,81,34
omp2,16,0.03,10,6,0.850025,2,79885,81,34
serial,1,0.03,10,7,9.64024,2,79885,81,34
omp1,1,0.03,10,7,9.41968,2,79885,81,34
omp1,4,0.03,10,7,3.12433,2,79885,81,34
omp1,8,0.03,10,7,2.3152,2,79885,81,34
omp1,16,0.03,10,7,2.0831,2,79885,81,34
omp2,1,0.03,10,7,2.56079,2,79885,81,34
omp2,4,0.03,10,7,1.16035,2,79885,81,34
omp2,8,0.03,10,7,0.91361,2,79885,81,34
omp2,16,0.03,10,7,0.8062,2,79885,81,34
serial,1,0.03,10,8,10.6056,2,79885,81,34
omp1,1,0.03,10,8,9.51447,2,79885,81,34
omp1,4,0.03,10,8,2.92187,2,79885,81,34
omp1,8,0.03,10,8,2.08699,2,79885,81,34
omp1,16,0.03,10,8,2.24881,2,79885,81,34
omp2,1,0.03,10,8,2.73429,2,79885,81,34
omp2,4,0.03,10,8,1.766,2,79885,81,34
omp2,8,0.03,10,8,0.973142,2,79885,81,34
omp2,16,0.03,10,8,0.841219,2,79885,81,34
serial,1,0.03,10,9,9.60553,2,79885,81,34
omp1,1,0.03,10,9,8.89776,2,79885,81,34
omp1,4,0.03,10,9,2.52746,2,79885,81,34
omp1,8,0.03,10,9,1.86528,2,79885,81,34
omp1,16,0.03,10,9,1.8583,2,79885,81,34
omp2,1,0.03,10,9,2.41674,2,79885,81,34
omp2,4,0.03,10,9,0.958177,2,79885,81,34
omp2,8,0.03,10,9,0.741672,2,79885,81,34
omp2,16,0.03,10,9,0.706686,2,79885,81,34
serial,1,0.03,10,10,9.9496,2,79885,81,34
omp1,1,0.03,10,10,9.67518,2,79885,81,34
omp1,4,0.03,10,10,2.88807,2,79885,81,34
omp1,8,0.03,10,10,2.2257,2,79885,81,34
omp1,16,0.03,10,10,2.11771,2,79885,81,34
omp2,1,0.03,10,10,2.57484,2,79885,81,34
omp2,4,0.03,10,10,1.06289,2,79885,81,34
omp2,8,0.03,10,10,1.18211,2,79885,81,34
omp2,16,0.03,10,10,0.797894,2,79885,81,34
