impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,2.39337,2,39871,96,33
omp1,1,0.03,10,1,2.45946,2,39871,96,33
omp1,4,0.03,10,1,0.651043,2,39871,96,33
omp1,8,0.03,10,1,0.500763,2,39871,96,33
omp1,16,0.03,10,1,0.46556,2,39871,96,33
omp2,1,0.03,10,1,0.61562,2,39871,96,33
omp2,4,0.03,10,1,0.234746,2,39871,96,33
omp2,8,0.03,10,1,0.156003,2,39871,96,33
omp2,16,0.03,10,1,0.226625,2,39871,96,33
serial,1,0.03,10,2,2.39138,2,39871,96,33
omp1,1,0.03,10,2,2.25015,2,39871,96,33
omp1,4,0.03,10,2,0.631652,2,39871,96,33
omp1,8,0.03,10,2,0.454859,2,39871,96,33
omp1,16,0.03,10,2,0.444332,2,39871,96,33
omp2,1,0.03,10,2,0.560289,2,39871,96,33
omp2,4,0.03,10,2,0.202763,2,39871,96,33
omp2,8,0.03,10,2,0.150055,2,39871,96,33
omp2,16,0.03,10,2,0.14355,2,39871,96,33
serial,1,0.03,10,3,2.39619,2,39871,96,33
omp1,1,0.03,10,3,2.23496,2,39871,96,33
omp1,4,0.03,10,3,1.00585,2,39871,96,33
omp1,8,0.03,10,3,1.04011,2,39871,96,33
omp1,16,0.03,10,3,0.46165,2,39871,96,33
omp2,1,0.03,10,3,0.577564,2,39871,96,33
omp2,4,0.03,10,3,0.205461,2,39871,96,33
omp2,8,0.03,10,3,0.157188,2,39871,96,33
omp2,16,0.03,10,3,0.159755,2,39871,96,33
serial,1,0.03,10,4,2.376,2,39871,96,33
omp1,1,0.03,10,4,2.28595,2,39871,96,33
omp1,4,0.03,10,4,0.642798,2,39871,96,33
omp1,8,0.03,10,4,0.496441,2,39871,96,33
omp1,16,0.03,10,4,0.469833,2,39871,96,33
omp2,1,0.03,10,4,0.595408,2,39871,96,33
omp2,4,0.03,10,4,0.224981,2,39871,96,33
omp2,8,0.03,10,4,0.156587,2,39871,96,33
omp2,16,0.03,10,4,0.142076,2,39871,96,33
serial,1,0.03,10,5,2.32446,2,39871,96,33
omp1,1,0.03,10,5,2.22276,2,39871,96,33
omp1,4,0.03,10,5,0.64972,2,39871,96,33
omp1,8,0.03,10,5,0.647353,2,39871,96,33
omp1,16,0.03,10,5,0.50773,2,39871,96,33
omp2,1,0.03,10,5,0.585264,2,39871,96,33
omp2,4,0.03,10,5,0.260634,2,39871,96,33
omp2,8,0.03,10,5,0.156809,2,39871,96,33
omp2,16,0.03,10,5,0.166351,2,39871,96,33
serial,1,0.03,10,6,2.55996,2,39871,96,33
omp1,1,0.03,10,6,2.51431,2,39871,96,33
omp1,4,0.03,10,6,0.716748,2,39871,96,33
omp1,8,0.03,10,6,0.515961,2,39871,96,33
omp1,16,0.03,10,6,0.686316,2,39871,96,33
omp2,1,0.03,10,6,0.600796,2,39871,96,33
omp2,4,0.03,10,6,0.217985,2,39871,96,33
omp2,8,0.03,10,6,0.154567,2,39871,96,33
omp2,16,0.03,10,6,0.159256,2,39871,96,33
serial,1,0.03,10,7,2.42109,2,39871,96,33
omp1,1,0.03,10,7,2.34131,2,39871,96,33
omp1,4,0.03,10,7,0.666187,2,39871,96,33
omp1,8,0.03,10,7,0.507803,2,39871,96,33
omp1,16,0.03,10,7,0.500314,2,39871,96,33
omp2,1,0.03,10,7,0.608669,2,39871,96,33
omp2,4,0.03,10,7,0.271513,2,39871,96,33
omp2,8,0.03,10,7,0.152701,2,39871,96,33
omp2,16,0.03,10,7,0.163177,2,39871,96,33
serial,1,0.03,10,8,2.51891,2,39871,96,33
omp1,1,0.03,10,8,2.50299,2,39871,96,33
omp1,4,0.03,10,8,0.648979,2,39871,96,33
omp1,8,0.03,10,8,0.497021,2,39871,96,33
omp1,16,0.03,10,8,0.463012,2,39871,96,33
omp2,1,0.03,10,8,0.59436,2,39871,96,33
omp2,4,0.03,10,8,0.204596,2,39871,96,33
omp2,8,0.03,10,8,0.152256,2,39871,96,33
omp2,16,0.03,10,8,0.150444,2,39871,96,33
serial,1,0.03,10,9,2.4128,2,39871,96,33
omp1,1,0.03,10,9,2.4605,2,39871,96,33
omp1,4,0.03,10,9,0.653558,2,39871,96,33
omp1,8,0.03,10,9,0.466171,2,39871,96,33
omp1,16,0.03,10,9,0.4914,2,39871,96,33
omp2,1,0.03,10,9,0.588234,2,39871,96,33
omp2,4,0.03,10,9,0.216191,2,39871,96,33
omp2,8,0.03,10,9,0.14914,2,39871,96,33
omp2,16,0.03,10,9,0.190962,2,39871,96,33
serial,1,0.03,10,10,2.36328,2,39871,96,33
omp1,1,0.03,10,10,2.23759,2,39871,96,33
omp1,4,0.03,10,10,0.625283,2,39871,96,33
omp1,8,0.03,10,10,0.586413,2,39871,96,33
omp1,16,0.03,10,10,0.53439,2,39871,96,33
omp2,1,0.03,10,10,0.618154,2,39871,96,33
omp2,4,0.03,10,10,0.22048,2,39871,96,33
omp2,8,0.03,10,10,0.159529,2,39871,96,33
omp2,16,0.03,10,10,0.152032,2,39871,96,33
