impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,22.5863,2,119896,66,38
omp1,1,0.03,10,1,21.0903,2,119896,66,38
omp1,4,0.03,10,1,7.21228,2,119896,66,38
omp1,8,0.03,10,1,6.70613,2,119896,66,38
omp1,16,0.03,10,1,5.5189,2,119896,66,38
omp2,1,0.03,10,1,6.56246,2,119896,66,38
omp2,4,0.03,10,1,2.76803,2,119896,66,38
omp2,8,0.03,10,1,2.56378,2,119896,66,38
omp2,16,0.03,10,1,2.60538,2,119896,66,38
serial,1,0.03,10,2,22.9164,2,119896,66,38
omp1,1,0.03,10,2,21.703,2,119896,66,38
omp1,4,0.03,10,2,7.02685,2,119896,66,38
omp1,8,0.03,10,2,5.60188,2,119896,66,38
omp1,16,0.03,10,2,5.87889,2,119896,66,38
omp2,1,0.03,10,2,7.05163,2,119896,66,38
omp2,4,0.03,10,2,3.29618,2,119896,66,38
omp2,8,0.03,10,2,2.90801,2,119896,66,38
omp2,16,0.03,10,2,2.40863,2,119896,66,38
serial,1,0.03,10,3,22.449,2,119896,66,38
omp1,1,0.03,10,3,20.4472,2,119896,66,38
omp1,4,0.03,10,3,6.01637,2,119896,66,38
omp1,8,0.03,10,3,4.79539,2,119896,66,38
omp1,16,0.03,10,3,4.91448,2,119896,66,38
omp2,1,0.03,10,3,5.87194,2,119896,66,38
omp2,4,0.03,10,3,2.42098,2,119896,66,38
omp2,8,0.03,10,3,2.11527,2,119896,66,38
omp2,16,0.03,10,3,2.07997,2,119896,66,38
serial,1,0.03,10,4,21.9141,2,119896,66,38
omp1,1,0.03,10,4,20.8127,2,119896,66,38
omp1,4,0.03,10,4,6.6803,2,119896,66,38
omp1,8,0.03,10,4,5.04341,2,119896,66,38
omp1,16,0.03,10,4,5.0326,2,119896,66,38
omp2,1,0.03,10,4,6.27433,2,119896,66,38
omp2,4,0.03,10,4,2.58105,2,119896,66,38
omp2,8,0.03,10,4,2.90273,2,119896,66,38
omp2,16,0.03,10,4,2.02903,2,119896,66,38
serial,1,0.03,10,5,22.9903,2,119896,66,38
omp1,1,0.03,10,5,21.6221,2,119896,66,38
omp1,4,0.03,10,5,7.22885,2,119896,66,38
omp1,8,0.03,10,5,4.7716,2,119896,66,38
omp1,16,0.03,10,5,5.29008,2,119896,66,38
omp2,1,0.03,10,5,6.43653,2,119896,66,38
omp2,4,0.03,10,5,2.75597,2,119896,66,38
omp2,8,0.03,10,5,2.38815,2,119896,66,38
omp2,16,0.03,10,5,2.56281,2,119896,66,38
serial,1,0.03,10,6,23.2236,2,119896,66,38
omp1,1,0.03,10,6,22.0679,2,119896,66,38
omp1,4,0.03,10,6,6.79108,2,119896,66,38
omp1,8,0.03,10,6,5.60702,2,119896,66,38
omp1,16,0.03,10,6,5.48794,2,119896,66,38
omp2,1,0.03,10,6,6.52978,2,119896,66,38
omp2,4,0.03,10,6,3.19284,2,119896,66,38
omp2,8,0.03,10,6,2.83695,2,119896,66,38
omp2,16,0.03,10,6,2.49045,2,119896,66,38
serial,1,0.03,10,7,22.2373,2,119896,66,38
omp1,1,0.03,10,7,21.7316,2,119896,66,38
omp1,4,0.03,10,7,6.59821,2,119896,66,38
omp1,8,0.03,10,7,5.07235,2,119896,66,38
omp1,16,0.03,10,7,5.01352,2,119896,66,38
omp2,1,0.03,10,7,6.17453,2,119896,66,38
omp2,4,0.03,10,7,2.50226,2,119896,66,38
omp2,8,0.03,10,7,2.21941,2,119896,66,38
omp2,16,0.03,10,7,2.3866,2,119896,66,38
serial,1,0.03,10,8,22.2285,2,119896,66,38
omp1,1,0.03,10,8,21.0502,2,119896,66,38
omp1,4,0.03,10,8,6.30486,2,119896,66,38
omp1,8,0.03,10,8,4.45496,2,119896,66,38
omp1,16,0.03,10,8,4.87052,2,119896,66,38
omp2,1,0.03,10,8,5.76797,2,119896,66,38
omp2,4,0.03,10,8,2.387,2,119896,66,38
omp2,8,0.03,10,8,2.05214,2,119896,66,38
omp2,16,0.03,10,8,2.24146,2,119896,66,38
serial,1,0.03,10,9,21.8584,2,119896,66,38
omp1,1,0.03,10,9,21.3024,2,119896,66,38
omp1,4,0.03,10,9,7.01941,2,119896,66,38
omp1,8,0.03,10,9,5.30475,2,119896,66,38
omp1,16,0.03,10,9,5.15928,2,119896,66,38
omp2,1,0.03,10,9,6.02662,2,119896,66,38
omp2,4,0.03,10,9,2.46375,2,119896,66,38
omp2,8,0.03,10,9,2.18789,2,119896,66,38
omp2,16,0.03,10,9,2.15643,2,119896,66,38
serial,1,0.03,10,10,22.095,2,119896,66,38
omp1,1,0.03,10,10,20.5873,2,119896,66,38
omp1,4,0.03,10,10,6.76346,2,119896,66,38
omp1,8,0.03,10,10,5.26412,2,119896,66,38
omp1,16,0.03,10,10,5.27836,2,119896,66,38
omp2,1,0.03,10,10,6.31425,2,119896,66,38
omp2,4,0.03,10,10,3.07122,2,119896,66,38
omp2,8,0.03,10,10,2.39898,2,119896,66,38
omp2,16,0.03,10,10,2.82178,2,119896,66,38
