impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,1.00001e-06,0,0,0,0
omp1,1,0.03,10,1,9.99984e-06,0,0,0,0
omp1,6,0.03,10,1,9.69998e-05,0,0,0,0
omp1,12,0.03,10,1,0.000188,0,0,0,0
omp1,24,0.03,10,1,0.000392,0,0,0,0
omp2,1,0.03,10,1,1.59999e-05,0,0,0,0
omp2,6,0.03,10,1,0.000259,0,0,0,0
omp2,12,0.03,10,1,0.000597,0,0,0,0
omp2,24,0.03,10,1,0.000941,0,0,0,0
serial,1,0.03,10,2,1.00001e-06,0,0,0,0
omp1,1,0.03,10,2,1.29999e-05,0,0,0,0
omp1,6,0.03,10,2,0.000112,0,0,0,0
omp1,12,0.03,10,2,0.000195,0,0,0,0
omp1,24,0.03,10,2,0.00038,0,0,0,0
omp2,1,0.03,10,2,1.79999e-05,0,0,0,0
omp2,6,0.03,10,2,0.000273,0,0,0,0
omp2,12,0.03,10,2,0.000576,0,0,0,0
omp2,24,0.03,10,2,0.001067,0,0,0,0
serial,1,0.03,10,3,2.00002e-06,0,0,0,0
omp1,1,0.03,10,3,1.00001e-05,0,0,0,0
omp1,6,0.03,10,3,0.000166,0,0,0,0
omp1,12,0.03,10,3,0.000222,0,0,0,0
omp1,24,0.03,10,3,0.000378,0,0,0,0
omp2,1,0.03,10,3,2.00002e-05,0,0,0,0
omp2,6,0.03,10,3,0.000282,0,0,0,0
omp2,12,0.03,10,3,0.000608,0,0,0,0
omp2,24,0.03,10,3,0.001068,0,0,0,0
serial,1,0.03,10,4,1.99978e-06,0,0,0,0
omp1,1,0.03,10,4,1.09999e-05,0,0,0,0
omp1,6,0.03,10,4,0.000128,0,0,0,0
omp1,12,0.03,10,4,0.00016,0,0,0,0
omp1,24,0.03,10,4,0.000439,0,0,0,0
omp2,1,0.03,10,4,1.60001e-05,0,0,0,0
omp2,6,0.03,10,4,0.000374,0,0,0,0
omp2,12,0.03,10,4,0.000623,0,0,0,0
omp2,24,0.03,10,4,0.001214,0,0,0,0
serial,1,0.03,10,5,1.00001e-06,0,0,0,0
omp1,1,0.03,10,5,1.10001e-05,0,0,0,0
omp1,6,0.03,10,5,0.000142,0,0,0,0
omp1,12,0.03,10,5,0.000206,0,0,0,0
omp1,24,0.03,10,5,0.000421,0,0,0,0
omp2,1,0.03,10,5,2.00002e-05,0,0,0,0
omp2,6,0.03,10,5,0.000281,0,0,0,0
omp2,12,0.03,10,5,0.000618,0,0,0,0
omp2,24,0.03,10,5,0.001168,0,0,0,0
serial,1,0.03,10,6,1.00001e-06,0,0,0,0
omp1,1,0.03,10,6,1.09999e-05,0,0,0,0
omp1,6,0.03,10,6,0.000103,0,0,0,0
omp1,12,0.03,10,6,0.000215,0,0,0,0
omp1,24,0.03,10,6,0.000348,0,0,0,0
omp2,1,0.03,10,6,1.60001e-05,0,0,0,0
omp2,6,0.03,10,6,0.000252,0,0,0,0
omp2,12,0.03,10,6,0.000595,0,0,0,0
omp2,24,0.03,10,6,0.000935,0,0,0,0
serial,1,0.03,10,7,1.00001e-06,0,0,0,0
omp1,1,0.03,10,7,1.20001e-05,0,0,0,0
omp1,6,0.03,10,7,0.000106,0,0,0,0
omp1,12,0.03,10,7,0.000174,0,0,0,0
omp1,24,0.03,10,7,0.00034,0,0,0,0
omp2,1,0.03,10,7,2.00002e-05,0,0,0,0
omp2,6,0.03,10,7,0.000329,0,0,0,0
omp2,12,0.03,10,7,0.000595,0,0,0,0
omp2,24,0.03,10,7,0.000935,0,0,0,0
serial,1,0.03,10,8,1.00001e-06,0,0,0,0
omp1,1,0.03,10,8,1.00001e-05,0,0,0,0
omp1,6,0.03,10,8,0.00016,0,0,0,0
omp1,12,0.03,10,8,0.000236,0,0,0,0
omp1,24,0.03,10,8,0.000393,0,0,0,0
omp2,1,0.03,10,8,2.00002e-05,0,0,0,0
omp2,6,0.03,10,8,0.000269,0,0,0,0
omp2,12,0.03,10,8,0.000582,0,0,0,0
omp2,24,0.03,10,8,0.000978,0,0,0,0
serial,1,0.03,10,9,1.00001e-06,0,0,0,0
omp1,1,0.03,10,9,1.10001e-05,0,0,0,0
omp1,6,0.03,10,9,9.8e-05,0,0,0,0
omp1,12,0.03,10,9,0.000205,0,0,0,0
omp1,24,0.03,10,9,0.000331,0,0,0,0
omp2,1,0.03,10,9,1.89999e-05,0,0,0,0
omp2,6,0.03,10,9,0.000219,0,0,0,0
omp2,12,0.03,10,9,0.000602,0,0,0,0
omp2,24,0.03,10,9,0.000927,0,0,0,0
serial,1,0.03,10,10,2.00002e-06,0,0,0,0
omp1,1,0.03,10,10,9.99984e-06,0,0,0,0
omp1,6,0.03,10,10,0.000106,0,0,0,0
omp1,12,0.03,10,10,0.000216,0,0,0,0
omp1,24,0.03,10,10,0.000343,0,0,0,0
omp2,1,0.03,10,10,1.79999e-05,0,0,0,0
omp2,6,0.03,10,10,0.000272,0,0,0,0
omp2,12,0.03,10,10,0.000563,0,0,0,0
omp2,24,0.03,10,10,0.000996,0,0,0,0
