impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,1.00001e-06,0,0,0,0
omp1,1,0.03,10,1,4.69999e-05,0,0,0,0
omp1,6,0.03,10,1,7.99999e-05,0,0,0,0
omp1,12,0.03,10,1,0.000167,0,0,0,0
omp1,24,0.03,10,1,0.000311,0,0,0,0
omp2,1,0.03,10,1,2.6e-05,0,0,0,0
omp2,6,0.03,10,1,0.000352,0,0,0,0
omp2,12,0.03,10,1,0.000602,0,0,0,0
omp2,24,0.03,10,1,0.00096,0,0,0,0
serial,1,0.03,10,2,1.00001e-06,0,0,0,0
omp1,1,0.03,10,2,9.99984e-06,0,0,0,0
omp1,6,0.03,10,2,0.000125,0,0,0,0
omp1,12,0.03,10,2,0.000171,0,0,0,0
omp1,24,0.03,10,2,0.000363,0,0,0,0
omp2,1,0.03,10,2,1.79999e-05,0,0,0,0
omp2,6,0.03,10,2,0.000251,0,0,0,0
omp2,12,0.03,10,2,0.0005,0,0,0,0
omp2,24,0.03,10,2,0.000939,0,0,0,0
serial,1,0.03,10,3,1.00001e-06,0,0,0,0
omp1,1,0.03,10,3,9.99984e-06,0,0,0,0
omp1,6,0.03,10,3,9.49998e-05,0,0,0,0
omp1,12,0.03,10,3,0.000168,0,0,0,0
omp1,24,0.03,10,3,0.000319,0,0,0,0
omp2,1,0.03,10,3,2.29999e-05,0,0,0,0
omp2,6,0.03,10,3,0.00035,0,0,0,0
omp2,12,0.03,10,3,0.00058,0,0,0,0
omp2,24,0.03,10,3,0.001059,0,0,0,0
serial,1,0.03,10,4,1.00001e-06,0,0,0,0
omp1,1,0.03,10,4,1.10001e-05,0,0,0,0
omp1,6,0.03,10,4,0.000128,0,0,0,0
omp1,12,0.03,10,4,0.000195,0,0,0,0
omp1,24,0.03,10,4,0.000407,0,0,0,0
omp2,1,0.03,10,4,1.99999e-05,0,0,0,0
omp2,6,0.03,10,4,0.000305,0,0,0,0
omp2,12,0.03,10,4,0.000678,0,0,0,0
omp2,24,0.03,10,4,0.000886,0,0,0,0
serial,1,0.03,10,5,1.00001e-06,0,0,0,0
omp1,1,0.03,10,5,9.99984e-06,0,0,0,0
omp1,6,0.03,10,5,0.000114,0,0,0,0
omp1,12,0.03,10,5,0.000163,0,0,0,0
omp1,24,0.03,10,5,0.000312,0,0,0,0
omp2,1,0.03,10,5,2.29999e-05,0,0,0,0
omp2,6,0.03,10,5,0.000268,0,0,0,0
omp2,12,0.03,10,5,0.000552,0,0,0,0
omp2,24,0.03,10,5,0.000889,0,0,0,0
serial,1,0.03,10,6,1.00001e-06,0,0,0,0
omp1,1,0.03,10,6,8.99984e-06,0,0,0,0
omp1,6,0.03,10,6,9.4e-05,0,0,0,0
omp1,12,0.03,10,6,0.000193,0,0,0,0
omp1,24,0.03,10,6,0.00033,0,0,0,0
omp2,1,0.03,10,6,1.99999e-05,0,0,0,0
omp2,6,0.03,10,6,0.000251,0,0,0,0
omp2,12,0.03,10,6,0.00054,0,0,0,0
omp2,24,0.03,10,6,0.000978,0,0,0,0
serial,1,0.03,10,7,2.00002e-06,0,0,0,0
omp1,1,0.03,10,7,9.00007e-06,0,0,0,0
omp1,6,0.03,10,7,9.90001e-05,0,0,0,0
omp1,12,0.03,10,7,0.000195,0,0,0,0
omp1,24,0.03,10,7,0.000379,0,0,0,0
omp2,1,0.03,10,7,2.20002e-05,0,0,0,0
omp2,6,0.03,10,7,0.000296,0,0,0,0
omp2,12,0.03,10,7,0.000391,0,0,0,0
omp2,24,0.03,10,7,0.001074,0,0,0,0
serial,1,0.03,10,8,1.00001e-06,0,0,0,0
omp1,1,0.03,10,8,1.20001e-05,0,0,0,0
omp1,6,0.03,10,8,9.6e-05,0,0,0,0
omp1,12,0.03,10,8,0.000182,0,0,0,0
omp1,24,0.03,10,8,0.000318,0,0,0,0
omp2,1,0.03,10,8,1.20001e-05,0,0,0,0
omp2,6,0.03,10,8,0.000327,0,0,0,0
omp2,12,0.03,10,8,0.00072,0,0,0,0
omp2,24,0.03,10,8,0.000813,0,0,0,0
serial,1,0.03,10,9,2.00002e-06,0,0,0,0
omp1,1,0.03,10,9,1.69999e-05,0,0,0,0
omp1,6,0.03,10,9,0.000106,0,0,0,0
omp1,12,0.03,10,9,0.000231,0,0,0,0
omp1,24,0.03,10,9,0.000349,0,0,0,0
omp2,1,0.03,10,9,1.59999e-05,0,0,0,0
omp2,6,0.03,10,9,0.000266,0,0,0,0
omp2,12,0.03,10,9,0.000431,0,0,0,0
omp2,24,0.03,10,9,0.00107,0,0,0,0
serial,1,0.03,10,10,1.00001e-06,0,0,0,0
omp1,1,0.03,10,10,8.99984e-06,0,0,0,0
omp1,6,0.03,10,10,9.90001e-05,0,0,0,0
omp1,12,0.03,10,10,0.000145,0,0,0,0
omp1,24,0.03,10,10,0.000281,0,0,0,0
omp2,1,0.03,10,10,1.30001e-05,0,0,0,0
omp2,6,0.03,10,10,0.000298,0,0,0,0
omp2,12,0.03,10,10,0.000488,0,0,0,0
omp2,24,0.03,10,10,0.000987,0,0,0,0
