impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,2.00002e-06,0,0,0,0
omp1,1,0.03,10,1,1.09999e-05,0,0,0,0
omp1,6,0.03,10,1,0.000111,0,0,0,0
omp1,12,0.03,10,1,0.000199,0,0,0,0
omp1,24,0.03,10,1,0.000369,0,0,0,0
omp2,1,0.03,10,1,1.99999e-05,0,0,0,0
omp2,6,0.03,10,1,0.000276,0,0,0,0
omp2,12,0.03,10,1,0.000542,0,0,0,0
omp2,24,0.03,10,1,0.000992,0,0,0,0
serial,1,0.03,10,2,1.00001e-06,0,0,0,0
omp1,1,0.03,10,2,3.4e-05,0,0,0,0
omp1,6,0.03,10,2,0.000163,0,0,0,0
omp1,12,0.03,10,2,0.000204,0,0,0,0
omp1,24,0.03,10,2,0.000388,0,0,0,0
omp2,1,0.03,10,2,2.10002e-05,0,0,0,0
omp2,6,0.03,10,2,0.000283,0,0,0,0
omp2,12,0.03,10,2,0.000523,0,0,0,0
omp2,24,0.03,10,2,0.001231,0,0,0,0
serial,1,0.03,10,3,2.00002e-06,0,0,0,0
omp1,1,0.03,10,3,1.09999e-05,0,0,0,0
omp1,6,0.03,10,3,0.000127,0,0,0,0
omp1,12,0.03,10,3,0.00029,0,0,0,0
omp1,24,0.03,10,3,0.000391,0,0,0,0
omp2,1,0.03,10,3,1.49999e-05,0,0,0,0
omp2,6,0.03,10,3,0.000279,0,0,0,0
omp2,12,0.03,10,3,0.00059,0,0,0,0
omp2,24,0.03,10,3,0.000936,0,0,0,0
serial,1,0.03,10,4,2.00002e-06,0,0,0,0
omp1,1,0.03,10,4,1.10001e-05,0,0,0,0
omp1,6,0.03,10,4,0.00011,0,0,0,0
omp1,12,0.03,10,4,0.000215,0,0,0,0
omp1,24,0.03,10,4,0.000409,0,0,0,0
omp2,1,0.03,10,4,1.79999e-05,0,0,0,0
omp2,6,0.03,10,4,0.000275,0,0,0,0
omp2,12,0.03,10,4,0.000506,0,0,0,0
omp2,24,0.03,10,4,0.001008,0,0,0,0
serial,1,0.03,10,5,2.00002e-06,0,0,0,0
omp1,1,0.03,10,5,1.09999e-05,0,0,0,0
omp1,6,0.03,10,5,0.000101,0,0,0,0
omp1,12,0.03,10,5,0.000209,0,0,0,0
omp1,24,0.03,10,5,0.000502,0,0,0,0
omp2,1,0.03,10,5,3.5e-05,0,0,0,0
omp2,6,0.03,10,5,0.000301,0,0,0,0
omp2,12,0.03,10,5,0.000565,0,0,0,0
omp2,24,0.03,10,5,0.001047,0,0,0,0
serial,1,0.03,10,6,1.00001e-06,0,0,0,0
omp1,1,0.03,10,6,1.00001e-05,0,0,0,0
omp1,6,0.03,10,6,0.000126,0,0,0,0
omp1,12,0.03,10,6,0.000226,0,0,0,0
omp1,24,0.03,10,6,0.000382,0,0,0,0
omp2,1,0.03,10,6,1.90001e-05,0,0,0,0
omp2,6,0.03,10,6,0.000258,0,0,0,0
omp2,12,0.03,10,6,0.000521,0,0,0,0
omp2,24,0.03,10,6,0.00097,0,0,0,0
serial,1,0.03,10,7,1.00001e-06,0,0,0,0
omp1,1,0.03,10,7,1.30001e-05,0,0,0,0
omp1,6,0.03,10,7,9.3e-05,0,0,0,0
omp1,12,0.03,10,7,0.000198,0,0,0,0
omp1,24,0.03,10,7,0.000311,0,0,0,0
omp2,1,0.03,10,7,2.09999e-05,0,0,0,0
omp2,6,0.03,10,7,0.000287,0,0,0,0
omp2,12,0.03,10,7,0.000533,0,0,0,0
omp2,24,0.03,10,7,0.000912,0,0,0,0
serial,1,0.03,10,8,1.00001e-06,0,0,0,0
omp1,1,0.03,10,8,1.09999e-05,0,0,0,0
omp1,6,0.03,10,8,9e-05,0,0,0,0
omp1,12,0.03,10,8,0.000182,0,0,0,0
omp1,24,0.03,10,8,0.000298,0,0,0,0
omp2,1,0.03,10,8,1.69999e-05,0,0,0,0
omp2,6,0.03,10,8,0.000274,0,0,0,0
omp2,12,0.03,10,8,0.000633,0,0,0,0
omp2,24,0.03,10,8,0.000967,0,0,0,0
serial,1,0.03,10,9,1.00001e-06,0,0,0,0
omp1,1,0.03,10,9,1.00001e-05,0,0,0,0
omp1,6,0.03,10,9,9.39998e-05,0,0,0,0
omp1,12,0.03,10,9,0.000173,0,0,0,0
omp1,24,0.03,10,9,0.000345,0,0,0,0
omp2,1,0.03,10,9,1.90001e-05,0,0,0,0
omp2,6,0.03,10,9,0.000271,0,0,0,0
omp2,12,0.03,10,9,0.000561,0,0,0,0
omp2,24,0.03,10,9,0.000947,0,0,0,0
serial,1,0.03,10,10,1.00001e-06,0,0,0,0
omp1,1,0.03,10,10,1.00001e-05,0,0,0,0
omp1,6,0.03,10,10,9.39998e-05,0,0,0,0
omp1,12,0.03,10,10,0.000194,0,0,0,0
omp1,24,0.03,10,10,0.000322,0,0,0,0
omp2,1,0.03,10,10,1.99999e-05,0,0,0,0
omp2,6,0.03,10,10,0.000257,0,0,0,0
omp2,12,0.03,10,10,0.000557,0,0,0,0
omp2,24,0.03,10,10,0.001009,0,0,0,0
