impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,1.00001e-06,0,0,0,0
omp1,1,0.03,10,1,8.00006e-06,0,0,0,0
omp1,6,0.03,10,1,0.000122,0,0,0,0
omp1,12,0.03,10,1,0.00029,0,0,0,0
omp1,24,0.03,10,1,0.000681,0,0,0,0
omp2,1,0.03,10,1,2.19999e-05,0,0,0,0
omp2,6,0.03,10,1,0.00038,0,0,0,0
omp2,12,0.03,10,1,0.000738,0,0,0,0
omp2,24,0.03,10,1,0.000935,0,0,0,0
serial,1,0.03,10,2,1.00001e-06,0,0,0,0
omp1,1,0.03,10,2,9.00007e-06,0,0,0,0
omp1,6,0.03,10,2,0.000147,0,0,0,0
omp1,12,0.03,10,2,0.00021,0,0,0,0
omp1,24,0.03,10,2,0.000374,0,0,0,0
omp2,1,0.03,10,2,1.70001e-05,0,0,0,0
omp2,6,0.03,10,2,0.000303,0,0,0,0
omp2,12,0.03,10,2,0.000733,0,0,0,0
omp2,24,0.03,10,2,0.000988,0,0,0,0
serial,1,0.03,10,3,0,0,0,0,0
omp1,1,0.03,10,3,1.19999e-05,0,0,0,0
omp1,6,0.03,10,3,9.3e-05,0,0,0,0
omp1,12,0.03,10,3,0.000166,0,0,0,0
omp1,24,0.03,10,3,0.000351,0,0,0,0
omp2,1,0.03,10,3,1.60001e-05,0,0,0,0
omp2,6,0.03,10,3,0.000314,0,0,0,0
omp2,12,0.03,10,3,0.000637,0,0,0,0
omp2,24,0.03,10,3,0.000898,0,0,0,0
serial,1,0.03,10,4,1.00001e-06,0,0,0,0
omp1,1,0.03,10,4,1.00001e-05,0,0,0,0
omp1,6,0.03,10,4,0.000107,0,0,0,0
omp1,12,0.03,10,4,0.000162,0,0,0,0
omp1,24,0.03,10,4,0.000303,0,0,0,0
omp2,1,0.03,10,4,1.79999e-05,0,0,0,0
omp2,6,0.03,10,4,0.000279,0,0,0,0
omp2,12,0.03,10,4,0.000536,0,0,0,0
omp2,24,0.03,10,4,0.000934,0,0,0,0
serial,1,0.03,10,5,1.00001e-06,0,0,0,0
omp1,1,0.03,10,5,8.99984e-06,0,0,0,0
omp1,6,0.03,10,5,0.0001,0,0,0,0
omp1,12,0.03,10,5,0.000188,0,0,0,0
omp1,24,0.03,10,5,0.000319,0,0,0,0
omp2,1,0.03,10,5,1.89999e-05,0,0,0,0
omp2,6,0.03,10,5,0.000323,0,0,0,0
omp2,12,0.03,10,5,0.000551,0,0,0,0
omp2,24,0.03,10,5,0.000871,0,0,0,0
serial,1,0.03,10,6,1.00001e-06,0,0,0,0
omp1,1,0.03,10,6,1.10001e-05,0,0,0,0
omp1,6,0.03,10,6,9.7e-05,0,0,0,0
omp1,12,0.03,10,6,0.000232,0,0,0,0
omp1,24,0.03,10,6,0.000358,0,0,0,0
omp2,1,0.03,10,6,1.89999e-05,0,0,0,0
omp2,6,0.03,10,6,0.000222,0,0,0,0
omp2,12,0.03,10,6,0.000508,0,0,0,0
omp2,24,0.03,10,6,0.000942,0,0,0,0
serial,1,0.03,10,7,2.00002e-06,0,0,0,0
omp1,1,0.03,10,7,9.99984e-06,0,0,0,0
omp1,6,0.03,10,7,0.000117,0,0,0,0
omp1,12,0.03,10,7,0.000206,0,0,0,0
omp1,24,0.03,10,7,0.0003,0,0,0,0
omp2,1,0.03,10,7,1.80001e-05,0,0,0,0
omp2,6,0.03,10,7,0.000251,0,0,0,0
omp2,12,0.03,10,7,0.000509,0,0,0,0
omp2,24,0.03,10,7,0.001003,0,0,0,0
serial,1,0.03,10,8,1.00001e-06,0,0,0,0
omp1,1,0.03,10,8,1.10001e-05,0,0,0,0
omp1,6,0.03,10,8,0.000112,0,0,0,0
omp1,12,0.03,10,8,0.000184,0,0,0,0
omp1,24,0.03,10,8,0.000391,0,0,0,0
omp2,1,0.03,10,8,1.89999e-05,0,0,0,0
omp2,6,0.03,10,8,0.000355,0,0,0,0
omp2,12,0.03,10,8,0.000643,0,0,0,0
omp2,24,0.03,10,8,0.001106,0,0,0,0
serial,1,0.03,10,9,2.00002e-06,0,0,0,0
omp1,1,0.03,10,9,1.19999e-05,0,0,0,0
omp1,6,0.03,10,9,0.000137,0,0,0,0
omp1,12,0.03,10,9,0.000239,0,0,0,0
omp1,24,0.03,10,9,0.000375,0,0,0,0
omp2,1,0.03,10,9,1.90001e-05,0,0,0,0
omp2,6,0.03,10,9,0.000293,0,0,0,0
omp2,12,0.03,10,9,0.000604,0,0,0,0
omp2,24,0.03,10,9,0.001062,0,0,0,0
serial,1,0.03,10,10,1.00001e-06,0,0,0,0
omp1,1,0.03,10,10,1.29999e-05,0,0,0,0
omp1,6,0.03,10,10,0.00011,0,0,0,0
omp1,12,0.03,10,10,0.000221,0,0,0,0
omp1,24,0.03,10,10,0.000389,0,0,0,0
omp2,1,0.03,10,10,1.49999e-05,0,0,0,0
omp2,6,0.03,10,10,0.000283,0,0,0,0
omp2,12,0.03,10,10,0.000587,0,0,0,0
omp2,24,0.03,10,10,0.00099,0,0,0,0
