impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,1.00001e-06,0,0,0,0
omp1,1,0.03,10,1,1.50001e-05,0,0,0,0
omp1,6,0.03,10,1,0.000107,0,0,0,0
omp1,12,0.03,10,1,0.000218,0,0,0,0
omp1,24,0.03,10,1,0.000367,0,0,0,0
omp2,1,0.03,10,1,1.99999e-05,0,0,0,0
omp2,6,0.03,10,1,0.000318,0,0,0,0
omp2,12,0.03,10,1,0.000542,0,0,0,0
omp2,24,0.03,10,1,0.000949,0,0,0,0
serial,1,0.03,10,2,2.00002e-06,0,0,0,0
omp1,1,0.03,10,2,1.10001e-05,0,0,0,0
omp1,6,0.03,10,2,9e-05,0,0,0,0
omp1,12,0.03,10,2,0.000178,0,0,0,0
omp1,24,0.03,10,2,0.000338,0,0,0,0
omp2,1,0.03,10,2,1.60001e-05,0,0,0,0
omp2,6,0.03,10,2,0.000259,0,0,0,0
omp2,12,0.03,10,2,0.000563,0,0,0,0
omp2,24,0.03,10,2,0.000729,0,0,0,0
serial,1,0.03,10,3,1.00001e-06,0,0,0,0
omp1,1,0.03,10,3,9.99984e-06,0,0,0,0
omp1,6,0.03,10,3,0.000104,0,0,0,0
omp1,12,0.03,10,3,0.000178,0,0,0,0
omp1,24,0.03,10,3,0.000413,0,0,0,0
omp2,1,0.03,10,3,1.69999e-05,0,0,0,0
omp2,6,0.03,10,3,0.000293,0,0,0,0
omp2,12,0.03,10,3,0.000582,0,0,0,0
omp2,24,0.03,10,3,0.001022,0,0,0,0
serial,1,0.03,10,4,1.00001e-06,0,0,0,0
omp1,1,0.03,10,4,1.09999e-05,0,0,0,0
omp1,6,0.03,10,4,0.000106,0,0,0,0
omp1,12,0.03,10,4,0.000276,0,0,0,0
omp1,24,0.03,10,4,0.000339,0,0,0,0
omp2,1,0.03,10,4,2.30002e-05,0,0,0,0
omp2,6,0.03,10,4,0.000269,0,0,0,0
omp2,12,0.03,10,4,0.000749,0,0,0,0
omp2,24,0.03,10,4,0.001057,0,0,0,0
serial,1,0.03,10,5,1.00001e-06,0,0,0,0
omp1,1,0.03,10,5,1.10001e-05,0,0,0,0
omp1,6,0.03,10,5,0.000159,0,0,0,0
omp1,12,0.03,10,5,0.000262,0,0,0,0
omp1,24,0.03,10,5,0.00034,0,0,0,0
omp2,1,0.03,10,5,1.80001e-05,0,0,0,0
omp2,6,0.03,10,5,0.000417,0,0,0,0
omp2,12,0.03,10,5,0.000586,0,0,0,0
omp2,24,0.03,10,5,0.000987,0,0,0,0
serial,1,0.03,10,6,2.00002e-06,0,0,0,0
omp1,1,0.03,10,6,1.09999e-05,0,0,0,0
omp1,6,0.03,10,6,9.90001e-05,0,0,0,0
omp1,12,0.03,10,6,0.000219,0,0,0,0
omp1,24,0.03,10,6,0.000467,0,0,0,0
omp2,1,0.03,10,6,2.00002e-05,0,0,0,0
omp2,6,0.03,10,6,0.000336,0,0,0,0
omp2,12,0.03,10,6,0.000529,0,0,0,0
omp2,24,0.03,10,6,0.001017,0,0,0,0
serial,1,0.03,10,7,2.00002e-06,0,0,0,0
omp1,1,0.03,10,7,1.00001e-05,0,0,0,0
omp1,6,0.03,10,7,0.000103,0,0,0,0
omp1,12,0.03,10,7,0.000152,0,0,0,0
omp1,24,0.03,10,7,0.000377,0,0,0,0
omp2,1,0.03,10,7,1.50001e-05,0,0,0,0
omp2,6,0.03,10,7,0.000265,0,0,0,0
omp2,12,0.03,10,7,0.000632,0,0,0,0
omp2,24,0.03,10,7,0.001018,0,0,0,0
serial,1,0.03,10,8,2.00002e-06,0,0,0,0
omp1,1,0.03,10,8,9.00007e-06,0,0,0,0
omp1,6,0.03,10,8,0.000115,0,0,0,0
omp1,12,0.03,10,8,0.000187,0,0,0,0
omp1,24,0.03,10,8,0.000304,0,0,0,0
omp2,1,0.03,10,8,2.19999e-05,0,0,0,0
omp2,6,0.03,10,8,0.000263,0,0,0,0
omp2,12,0.03,10,8,0.00053,0,0,0,0
omp2,24,0.03,10,8,0.001007,0,0,0,0
serial,1,0.03,10,9,2.00002e-06,0,0,0,0
omp1,1,0.03,10,9,1.50001e-05,0,0,0,0
omp1,6,0.03,10,9,9.90001e-05,0,0,0,0
omp1,12,0.03,10,9,0.0002,0,0,0,0
omp1,24,0.03,10,9,0.000381,0,0,0,0
omp2,1,0.03,10,9,2.00002e-05,0,0,0,0
omp2,6,0.03,10,9,0.000283,0,0,0,0
omp2,12,0.03,10,9,0.000581,0,0,0,0
omp2,24,0.03,10,9,0.000936,0,0,0,0
serial,1,0.03,10,10,2.00002e-06,0,0,0,0
omp1,1,0.03,10,10,1.19999e-05,0,0,0,0
omp1,6,0.03,10,10,9.89998e-05,0,0,0,0
omp1,12,0.03,10,10,0.000199,0,0,0,0
omp1,24,0.03,10,10,0.000315,0,0,0,0
omp2,1,0.03,10,10,1.89999e-05,0,0,0,0
omp2,6,0.03,10,10,0.000281,0,0,0,0
omp2,12,0.03,10,10,0.000571,0,0,0,0
omp2,24,0.03,10,10,0.000905,0,0,0,0
