impl,threads,eps,minpts,rep,time_s,clusters,core,border,noise
serial,1,0.03,10,1,1.00001e-06,0,0,0,0
omp1,1,0.03,10,1,1.00001e-05,0,0,0,0
omp1,6,0.03,10,1,9.7e-05,0,0,0,0
omp1,12,0.03,10,1,0.000184,0,0,0,0
omp1,24,0.03,10,1,0.000317,0,0,0,0
omp2,1,0.03,10,1,2.39999e-05,0,0,0,0
omp2,6,0.03,10,1,0.000275,0,0,0,0
omp2,12,0.03,10,1,0.000583,0,0,0,0
omp2,24,0.03,10,1,0.000965,0,0,0,0
serial,1,0.03,10,2,1.00001e-06,0,0,0,0
omp1,1,0.03,10,2,1.10001e-05,0,0,0,0
omp1,6,0.03,10,2,0.000106,0,0,0,0
omp1,12,0.03,10,2,0.000209,0,0,0,0
omp1,24,0.03,10,2,0.000402,0,0,0,0
omp2,1,0.03,10,2,1.90001e-05,0,0,0,0
omp2,6,0.03,10,2,0.000285,0,0,0,0
omp2,12,0.03,10,2,0.000598,0,0,0,0
omp2,24,0.03,10,2,0.000949,0,0,0,0
serial,1,0.03,10,3,1.00001e-06,0,0,0,0
omp1,1,0.03,10,3,1.49999e-05,0,0,0,0
omp1,6,0.03,10,3,9.59998e-05,0,0,0,0
omp1,12,0.03,10,3,0.000247,0,0,0,0
omp1,24,0.03,10,3,0.000361,0,0,0,0
omp2,1,0.03,10,3,1.89999e-05,0,0,0,0
omp2,6,0.03,10,3,0.000265,0,0,0,0
omp2,12,0.03,10,3,0.000621,0,0,0,0
omp2,24,0.03,10,3,0.001072,0,0,0,0
serial,1,0.03,10,4,1.00001e-06,0,0,0,0
omp1,1,0.03,10,4,1.10001e-05,0,0,0,0
omp1,6,0.03,10,4,0.000108,0,0,0,0
omp1,12,0.03,10,4,0.00016,0,0,0,0
omp1,24,0.03,10,4,0.000333,0,0,0,0
omp2,1,0.03,10,4,1.60001e-05,0,0,0,0
omp2,6,0.03,10,4,0.000351,0,0,0,0
omp2,12,0.03,10,4,0.000623,0,0,0,0
omp2,24,0.03,10,4,0.000809,0,0,0,0
serial,1,0.03,10,5,1.00001e-06,0,0,0,0
omp1,1,0.03,10,5,1.00001e-05,0,0,0,0
omp1,6,0.03,10,5,0.000174,0,0,0,0
omp1,12,0.03,10,5,0.000313,0,0,0,0
omp1,24,0.03,10,5,0.000355,0,0,0,0
omp2,1,0.03,10,5,1.99999e-05,0,0,0,0
omp2,6,0.03,10,5,0.000278,0,0,0,0
omp2,12,0.03,10,5,0.000584,0,0,0,0
omp2,24,0.03,10,5,0.00108,0,0,0,0
serial,1,0.03,10,6,1.00001e-06,0,0,0,0
omp1,1,0.03,10,6,1.09999e-05,0,0,0,0
omp1,6,0.03,10,6,0.000106,0,0,0,0
omp1,12,0.03,10,6,0.000219,0,0,0,0
omp1,24,0.03,10,6,0.000371,0,0,0,0
omp2,1,0.03,10,6,1.89999e-05,0,0,0,0
omp2,6,0.03,10,6,0.000278,0,0,0,0
omp2,12,0.03,10,6,0.000403,0,0,0,0
omp2,24,0.03,10,6,0.001014,0,0,0,0
serial,1,0.03,10,7,1.00001e-06,0,0,0,0
omp1,1,0.03,10,7,1.00001e-05,0,0,0,0
omp1,6,0.03,10,7,0.000107,0,0,0,0
omp1,12,0.03,10,7,0.000226,0,0,0,0
omp1,24,0.03,10,7,0.000472,0,0,0,0
omp2,1,0.03,10,7,2.09999e-05,0,0,0,0
omp2,6,0.03,10,7,0.00027,0,0,0,0
omp2,12,0.03,10,7,0.000587,0,0,0,0
omp2,24,0.03,10,7,0.00102,0,0,0,0
serial,1,0.03,10,8,1.00001e-06,0,0,0,0
omp1,1,0.03,10,8,1.10001e-05,0,0,0,0
omp1,6,0.03,10,8,9.4e-05,0,0,0,0
omp1,12,0.03,10,8,0.000215,0,0,0,0
omp1,24,0.03,10,8,0.000331,0,0,0,0
omp2,1,0.03,10,8,1.99999e-05,0,0,0,0
omp2,6,0.03,10,8,0.000393,0,0,0,0
omp2,12,0.03,10,8,0.000618,0,0,0,0
omp2,24,0.03,10,8,0.001161,0,0,0,0
serial,1,0.03,10,9,1.00001e-06,0,0,0,0
omp1,1,0.03,10,9,1.10001e-05,0,0,0,0
omp1,6,0.03,10,9,0.000111,0,0,0,0
omp1,12,0.03,10,9,0.000197,0,0,0,0
omp1,24,0.03,10,9,0.000346,0,0,0,0
omp2,1,0.03,10,9,1.80001e-05,0,0,0,0
omp2,6,0.03,10,9,0.000268,0,0,0,0
omp2,12,0.03,10,9,0.000535,0,0,0,0
omp2,24,0.03,10,9,0.001062,0,0,0,0
serial,1,0.03,10,10,2.00002e-06,0,0,0,0
omp1,1,0.03,10,10,1.09999e-05,0,0,0,0
omp1,6,0.03,10,10,9.1e-05,0,0,0,0
omp1,12,0.03,10,10,0.000187,0,0,0,0
omp1,24,0.03,10,10,0.000361,0,0,0,0
omp2,1,0.03,10,10,1.89999e-05,0,0,0,0
omp2,6,0.03,10,10,0.000253,0,0,0,0
omp2,12,0.03,10,10,0.00056,0,0,0,0
omp2,24,0.03,10,10,0.000951,0,0,0,0
